pixel_no	pixel_x	pixel_y	latitude	longitude	reflec_1_NOICOL_mean	reflec_1_NOICOL_sigma	band	Product	ICOL_ID	Percentage_difference	Distance_Km
1	97	217	58.74499	17.338377	-2.36E-04	1.34E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	34.96	0.548
2	98	218	58.741795	17.341255	-8.83E-05	2.87E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-130.09	0.940
3	99	219	58.7386	17.344131	2.06E-04	3.96E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-27.90	1.332
4	100	220	58.73541	17.347012	4.69E-04	4.04E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-15.27	1.566
5	100	221	58.732872	17.345583	6.09E-04	4.22E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-7.25	1.956
6	101	222	58.729675	17.348461	8.04E-04	2.36E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-0.82	2.346
7	102	223	58.72648	17.351336	9.15E-04	1.98E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-3.87	2.737
8	103	224	58.723286	17.354212	8.54E-04	1.34E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.10	3.128
9	104	225	58.72009	17.357088	8.55E-04	1.08E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-0.09	3.519
10	105	226	58.716892	17.35996	8.80E-04	9.23E-05	reflec_1	FUB_L1N_NOL1N_20100511	0	1.41	3.911
11	106	227	58.7137	17.362833	9.35E-04	1.83E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.15	4.145
12	106	228	58.711163	17.361404	8.95E-04	2.12E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.93	4.536
13	107	229	58.707966	17.364277	7.40E-04	2.47E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.72	4.926
14	108	230	58.704773	17.367151	6.70E-04	1.41E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.10	5.318
15	109	231	58.701576	17.370024	7.19E-04	1.58E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.42	5.708
16	110	232	58.698383	17.372892	7.81E-04	1.23E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.51	6.100
17	111	233	58.695187	17.375763	8.09E-04	2.22E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	4.47	6.491
18	112	234	58.69199	17.378633	8.67E-04	1.87E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	4.38	6.725
19	112	235	58.689457	17.377205	8.41E-04	1.74E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	5.48	7.116
20	113	236	58.68626	17.380072	9.92E-04	9.39E-05	reflec_1	FUB_L1N_NOL1N_20100511	0	5.72	7.507
21	114	237	58.683067	17.38294	8.78E-04	1.64E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	6.27	7.898
22	115	238	58.67987	17.385807	8.75E-04	1.24E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	7.14	8.288
23	116	239	58.676678	17.388676	9.04E-04	1.78E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	6.59	8.680
24	117	240	58.67348	17.391542	9.04E-04	1.56E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	7.05	9.071
25	118	241	58.670288	17.394407	0.0010206065	1.69E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	5.73	9.462
26	119	242	58.667095	17.397272	0.0010399868	1.81E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.50	9.853
27	120	243	58.6639	17.400137	9.40E-04	2.07E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	4.48	10.244
28	121	244	58.660706	17.403002	9.74E-04	2.05E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.93	10.635
29	122	245	58.65751	17.405867	9.84E-04	2.07E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.86	11.027
30	123	246	58.654316	17.408728	9.26E-04	1.99E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.92	11.418
31	124	247	58.651123	17.411592	9.68E-04	1.56E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.82	11.809
32	125	248	58.64793	17.414452	0.001010158	1.05E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	4.73	12.201
33	126	249	58.644733	17.417315	0.0010359456	2.41E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	4.76	12.592
34	127	250	58.64154	17.420177	0.0011053015	1.92E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.75	12.983
35	128	251	58.63835	17.423035	9.10E-04	1.93E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.68	13.374
36	129	252	58.63516	17.425896	9.81E-04	2.69E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.18	13.766
37	130	253	58.63196	17.428755	9.56E-04	2.58E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.78	14.157
38	131	254	58.62877	17.431614	9.39E-04	2.37E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.36	14.549
39	132	255	58.625576	17.434471	9.97E-04	1.42E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.75	14.940
40	133	256	58.622383	17.437326	9.49E-04	8.58E-05	reflec_1	FUB_L1N_NOL1N_20100511	0	2.91	15.331
41	134	257	58.61919	17.440184	0.0010582744	2.02E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.94	15.723
42	135	258	58.615997	17.44304	9.12E-04	2.27E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.20	16.114
43	136	259	58.612804	17.445896	9.47E-04	1.76E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.07	16.506
44	137	260	58.609608	17.448751	0.0010338493	1.75E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	3.32	16.897
45	138	261	58.606415	17.451603	0.0011381936	1.47E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.35	17.289
46	139	262	58.60322	17.454458	0.001066795	1.22E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.29	17.680
47	140	263	58.60003	17.457312	9.52E-04	1.31E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.62	18.071
48	141	264	58.596836	17.460165	9.68E-04	1.95E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.19	18.463
49	142	265	58.593643	17.463015	0.0011206496	1.84E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.45	18.854
50	143	266	58.59045	17.465866	0.0010928094	2.25E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.39	19.246
51	144	267	58.587257	17.46873	0.0010644532	2.38E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.07	19.638
52	145	268	58.584064	17.471592	0.001000185	1.69E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	2.10	19.804
53	146	268	58.58341	17.475883	0.0010665703	1.77E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.98	20.196
54	147	269	58.58021	17.47874	9.03E-04	1.37E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.63	20.587
55	148	270	58.57702	17.481602	9.46E-04	1.71E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.13	20.979
56	149	271	58.573826	17.484463	9.72E-04	1.18E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.62	21.371
57	150	272	58.570633	17.487322	0.0011989077	2.25E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.51	21.763
58	151	273	58.56744	17.49018	0.0011316302	1.75E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.58	22.155
59	152	274	58.564247	17.493038	0.0011183654	1.79E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.32	22.546
60	153	275	58.561054	17.495895	0.0010360756	2.15E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.72	22.938
61	154	276	58.557854	17.498741	0.0010982574	2.04E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.29	23.331
62	155	277	58.55465	17.501587	0.0011365237	2.29E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	1.59	23.724
63	156	278	58.551445	17.50443	0.0011685026	2.81E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.84	24.115
64	157	279	58.54825	17.507275	9.96E-04	2.69E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.20	24.508
65	158	280	58.545048	17.51012	0.0010133238	2.40E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-0.40	24.901
66	159	281	58.541843	17.512964	9.59E-04	1.93E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-0.07	25.070
67	160	281	58.541176	17.51724	9.98E-04	1.96E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.29	25.462
68	161	282	58.537975	17.520084	0.0010037476	1.16E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.83	25.855
69	162	283	58.53477	17.522924	9.77E-04	1.80E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.58	26.247
70	163	284	58.53157	17.525764	9.63E-04	1.43E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.71	26.639
71	164	285	58.528374	17.528606	0.0010656936	1.30E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.91	27.031
72	165	286	58.52517	17.531446	0.0010760418	1.35E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	0.92	27.424
73	166	287	58.52197	17.534286	0.0010191267	1.56E-04	reflec_1	FUB_L1N_NOL1N_20100511	0	-36.75	0.156
1	97	217	58.74499	17.338377	-2.49E-04	1.75E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	33.14	0.548
2	98	218	58.741795	17.341255	-9.09E-05	3.46E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	-97.92	0.940
3	99	219	58.7386	17.344131	2.42E-04	4.58E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	-21.64	1.332
4	100	220	58.73541	17.347012	5.50E-04	4.57E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	-11.31	1.566
5	100	221	58.732872	17.345583	6.87E-04	4.67E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	-4.77	1.956
6	101	222	58.729675	17.348461	9.08E-04	2.43E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.15	2.346
7	102	223	58.72648	17.351336	0.0010211577	1.95E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	-2.05	2.737
8	103	224	58.723286	17.354212	9.62E-04	1.43E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.17	3.128
9	104	225	58.72009	17.357088	9.66E-04	1.15E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.02	3.519
10	105	226	58.716892	17.35996	9.99E-04	9.47E-05	reflec_2	FUB_L1N_NOL1N_20100511	0	2.39	3.911
11	106	227	58.7137	17.362833	0.001067388	1.85E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.11	4.145
12	106	228	58.711163	17.361404	0.0010415824	2.08E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.71	4.536
13	107	229	58.707966	17.364277	8.98E-04	2.42E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.56	4.926
14	108	230	58.704773	17.367151	8.42E-04	1.49E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.64	5.318
15	109	231	58.701576	17.370024	8.85E-04	1.65E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.85	5.708
16	110	232	58.698383	17.372892	9.47E-04	1.33E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.88	6.100
17	111	233	58.695187	17.375763	9.73E-04	2.27E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	4.75	6.491
18	112	234	58.69199	17.378633	0.0010297048	1.91E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	4.72	6.725
19	112	235	58.689457	17.377205	0.0010053813	1.73E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	5.54	7.116
20	113	236	58.68626	17.380072	0.001156833	1.02E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	5.58	7.507
21	114	237	58.683067	17.38294	0.00102514	1.75E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	6.06	7.898
22	115	238	58.67987	17.385807	0.0010282106	1.32E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	6.74	8.288
23	116	239	58.676678	17.388676	0.0010527221	1.85E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	6.39	8.680
24	117	240	58.67348	17.391542	0.0010467146	1.53E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	6.50	9.071
25	118	241	58.670288	17.394407	0.001156616	1.60E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	5.35	9.462
26	119	242	58.667095	17.397272	0.0011672833	1.81E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.39	9.853
27	120	243	58.6639	17.400137	0.0010649773	2.10E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	4.22	10.244
28	121	244	58.660706	17.403002	0.0010928933	2.04E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.77	10.635
29	122	245	58.65751	17.405867	0.0011067096	2.08E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.90	11.027
30	123	246	58.654316	17.408728	0.0010455908	2.09E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.70	11.418
31	124	247	58.651123	17.411592	0.0010759247	1.52E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.47	11.809
32	125	248	58.64793	17.414452	0.0011030188	1.11E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	4.12	12.201
33	126	249	58.644733	17.417315	0.0011152318	2.35E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	4.17	12.592
34	127	250	58.64154	17.420177	0.0011790075	1.88E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.58	12.983
35	128	251	58.63835	17.423035	0.0010033594	1.78E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.24	13.374
36	129	252	58.63516	17.425896	0.0010667922	2.39E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.86	13.766
37	130	253	58.63196	17.428755	0.0010407964	2.40E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.49	14.157
38	131	254	58.62877	17.431614	0.0010183153	2.24E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.01	14.549
39	132	255	58.625576	17.434471	0.001072569	1.35E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.43	14.940
40	133	256	58.622383	17.437326	0.0010245912	8.03E-05	reflec_2	FUB_L1N_NOL1N_20100511	0	2.59	15.331
41	134	257	58.61919	17.440184	0.0011323661	1.93E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.78	15.723
42	135	258	58.615997	17.44304	9.98E-04	2.21E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.14	16.114
43	136	259	58.612804	17.445896	0.001045505	1.75E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.79	16.506
44	137	260	58.609608	17.448751	0.0011116673	1.54E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	3.05	16.897
45	138	261	58.606415	17.451603	0.0012063296	1.29E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.20	17.289
46	139	262	58.60322	17.454458	0.0011539316	1.05E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.29	17.680
47	140	263	58.60003	17.457312	0.0010518776	1.12E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.57	18.071
48	141	264	58.596836	17.460165	0.0010664117	1.85E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.02	18.463
49	142	265	58.593643	17.463015	0.0012016576	1.74E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.21	18.854
50	143	266	58.59045	17.465866	0.0011688533	2.24E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	2.15	19.246
51	144	267	58.587257	17.46873	0.0011367685	2.30E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.95	19.638
52	145	268	58.584064	17.471592	0.0010760495	1.53E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.97	19.804
53	146	268	58.58341	17.475883	0.0011350879	1.63E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	0.96	20.196
54	147	269	58.58021	17.47874	9.81E-04	1.39E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	0.67	20.587
55	148	270	58.57702	17.481602	0.0010245086	1.77E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	0.09	20.979
56	149	271	58.573826	17.484463	0.0010487112	1.16E-04	reflec_2	FUB_L1N_NOL1N_20100511	0	1.21	21.371
